"source","column","action","metadata_schema"
"wb","page","rm",""
"wb","pages","rm",""
"wb","per_page","rm",""
"wb","total","rm",""
"wb","id","keep","src_ind_id"
"wb","name","keep","indicator"
"wb","sourceNote","keep","ind_description"
"wb","sourceOrganization","keep","source"
"wb","topics","rm",""
"wb","source.id","keep","dataset_id"
"wb","source.value","keep","dataset"
"wb","","add","uom"
"n4d","IndicatorCode","keep","src_id_ind"
"n4d","DataSetcode","keep","src_id_dataset"
"n4d","DataSetName","keep","dataset"
"n4d","IndicatorName","keep","indicator"
"n4d","IndicatorLongName","rm",""
"n4d","IndicatorShortDef","keep","ind_description"
"n4d","IndicatorSynonym","rm",""
"n4d","IndicatorSource","keep","source"
"n4d","TopicID","rm",""
"n4d","TopicName","rm",""
"n4d","SubTopicName","rm",""
"n4d","AggregationMethod","rm",""
"n4d","BasePeriod","rm",""
"n4d","DerivationMethod","rm",""
"n4d","OtherNote","rm",""
"n4d","Periodicity","rm",""
"n4d","PowerCode","rm",""
"n4d","PredefinedRegion","rm",""
"n4d","PredefinedCountry","rm",""
"n4d","PredefinedTopic","rm",""
"n4d","ReferencePeriod","rm",""
"n4d","UOM","keep","uom"
"n4d","GeneralComment","rm",""
"n4d","LimitationException","rm",""
"n4d","SourceComment","rm",""
"ncd","theme","rm",""
"ncd","series","keep","src_ind_id"
"ncd","name","keep","indicator"
"ncd","unit","keep","uom"
"ncd","source","keep","source"
"ncd","definition","keep","ind_description"
"ncd","primary","rm"
"ncd","secondary","rm"
"ncd","tertiary","rm"
